Assembly Accession	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Lineage 	Annotation BUSCO Missing 	Annotation BUSCO Single Copy 	Annotation BUSCO Total Count 	Annotation BUSCO Version 	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Release Version	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Accession	Assembly BioSample Age 	Assembly BioSample Attribute Name	Assembly BioSample Attribute Value	Assembly BioSample Biomaterial provider 	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed 	Assembly BioSample Collected by 	Assembly BioSample Collection date 	Assembly BioSample Cultivar 	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage 	Assembly BioSample Ecotype 	Assembly BioSample Geographic location 	Assembly BioSample Host 	Assembly BioSample Host disease 	Assembly BioSample Identified by 	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category 	Assembly BioSample Isolate 	Assembly BioSample Isolate name alias 	Assembly BioSample Isolation source 	Assembly BioSample Last updated	Assembly BioSample Latitude / Longitude 	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name  	Assembly BioSample Publication date	Assembly BioSample Sample name 	Assembly BioSample Serotype 	Assembly BioSample Serovar 	Assembly BioSample Sex 	Assembly BioSample Source type 	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Strain 	Assembly BioSample Sub-species 	Assembly BioSample Submission date	Assembly BioSample Tissue 	Assembly Blast URL	Assembly Description	Assembly Grouping Method	Assembly Level	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly LongName	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly Status	Assembly Refseq Category	Assembly Release Date	Assembly Sequencing Tech	Assembly Status	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	CheckM completeness	CheckM completeness percentile	CheckM contamination	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Current Accession	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Name	Organism Pangolin Classification	Organism Taxonomic ID	Source Database	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		isolate	IAP13		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis				Sample name	Ca Endonucleobacter puteoserpentis		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		isolate	IAP13		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis			SRA		SRS20483069		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		host	Bathymodiolus puteoserpentis		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis				Sample name	Ca Endonucleobacter puteoserpentis		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		host	Bathymodiolus puteoserpentis		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis			SRA		SRS20483069		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		collection_date	2016-04-01		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis				Sample name	Ca Endonucleobacter puteoserpentis		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		collection_date	2016-04-01		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis			SRA		SRS20483069		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		env_broad_scale	ENVO:01000024		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis				Sample name	Ca Endonucleobacter puteoserpentis		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		env_broad_scale	ENVO:01000024		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis			SRA		SRS20483069		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		env_local_scale	Hydrothermal vents		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis				Sample name	Ca Endonucleobacter puteoserpentis		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
GCA_030674915.1	88.71	GCA_001646945.1	0.26	type	Endozoicomonas ascidiicola	0.19	low_coverage	category_na	Inconclusive	na		no-type		no_type	na		Candidatus Endonucleibacter bathymodioli	Candidatus Endonucleibacter bathymodioli									43		2745	202	2990	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2023-06-15			6.5		SPAdes v. 3.7; CANU v. 2.0; Unicycler v. 0.4			PRJNA979916	PRJNA979916			Molecular biology of Ca. Endonucleobacter	SAMN35615169		env_local_scale	Hydrothermal vents		PRJNA979916						2016-04-01		Keywords: GSC:MIxS;MIMAG:6.0								Candidatus Endonucleibacter bathymodioli		539814	MIMAG Metagenome-assembled Genome sample from Candidatus Endonucleibacter bathymodioli			Atlantic Ocean: Irina II venting site, Mid-Atlantic Ridge	Bathymodiolus puteoserpentis			SRA		SRS20483069		IAP13		adult deep-sea mussel near hydrothermal vent	2025-01-21T21:06:22.927	14.708333 N 44.966667 W	MIMAG.symbiont-associated		Max Planck Institute for Marine Microbiology	MIMAG.symbiont-associated.6.0		2023-06-15T00:00:00.000						live	2023-06-15T14:50:09.740			2023-06-04T10:38:04.493					Contig				ASM3067491v1	derived from metagenome									2023-08-07	Illumina HiSeq; PacBio	current	Max Planck Institute for Marine Microbiology			haploid	9	159565		1542356	40	50	72	72		72	9	159565		3860465	3860465								GCA_030674915.1											IAP13			Candidatus Endonucleibacter bathymodioli		539814	SOURCE_DATABASE_GENBANK			https://www.ncbi.nlm.nih.gov/Traces/wgs/JASXSV01	JASXSV01	https://www.ncbi.nlm.nih.gov/nuccore/JASXSV000000000.1
